donor_id,cell_id,area_of_interest_id,exome_ref_line,position_of_interest,UMI_id,read_set_id,set_nucleotide_to,num_reads
SYN_M4,1,1,0,125800,1,1,C,2
SYN_M4,1,2,0,139000,1,1,C,3
SYN_M4,1,3,0,191100,1,1,C,10
SYN_M4,2,1,0,125800,1,1,C,10
SYN_M4,2,1,0,125800,1,2,G,10
SYN_M4,2,2,0,139000,1,1,C,6
SYN_M4,2,2,0,139000,1,2,G,4
SYN_M4,2,3,0,191100,1,1,C,2
SYN_M4,2,3,0,191100,1,2,G,1
SYN_M4,3,1,0,125800,1,1,C,10
SYN_M4,3,1,0,125800,2,1,G,10
SYN_M4,3,2,0,139000,1,1,C,3
SYN_M4,3,2,0,139000,2,1,C,3
SYN_M4,3,3,0,191100,1,1,C,3
SYN_M4,3,3,0,191100,2,1,G,3
SYN_M4,3,3,0,191100,3,1,T,2
SYN_M4,3,4,0,201800,1,1,C,10
SYN_M4,3,4,0,201800,2,1,G,10
SYN_M4,3,4,0,201800,3,1,T,3
